,year,month,interest_rate,unemployment_rate,index_price
0,2017,12,2.75,5.3,1464
1,2017,11,2.5,5.3,1394
2,2017,10,2.5,5.3,1357
3,2017,9,2.5,5.3,1293
4,2017,8,2.5,5.4,1256
5,2017,7,2.5,5.6,1254
6,2017,6,2.5,5.5,1234
7,2017,5,2.25,5.5,1195
8,2017,4,2.25,5.5,1159
9,2017,3,2.25,5.6,1167
10,2017,2,2.0,5.7,1130
11,2017,1,2.0,5.9,1075
12,2016,12,2.0,6.0,1047
13,2016,11,1.75,5.9,965
14,2016,10,1.75,5.8,943
15,2016,9,1.75,6.1,958
16,2016,8,1.75,6.2,971
17,2016,7,1.75,6.1,949
18,2016,6,1.75,6.1,884
19,2016,5,1.75,6.1,866
20,2016,4,1.75,5.9,876
21,2016,3,1.75,6.2,822
22,2016,2,1.75,6.2,704
23,2016,1,1.75,6.1,719
24,2015,12,1.7,6.0,718
25,2015,11,1.61,6.0,700
26,2015,10,1.52,6.0,662
27,2015,9,1.49,5.9,627
28,2015,8,1.45,6.0,594
29,2015,7,1.38,6.1,611
30,2015,6,1.37,6.1,630
31,2015,5,1.28,6.3,607
32,2015,4,1.2,6.2,586
33,2015,3,1.22,6.1,581
34,2015,2,1.22,6.1,574
35,2015,1,1.13,6.0,546
36,2014,12,1.13,6.0,525
37,2014,11,1.12,6.0,503
38,2014,10,1.14,6.1,478
39,2014,9,1.13,6.1,491
40,2014,8,1.14,6.1,510
41,2014,7,1.06,6.1,515
42,2014,6,0.98,6.1,477
43,2014,5,0.98,6.2,471
44,2014,4,1.01,6.2,473
45,2014,3,1.0,6.3,460
46,2014,2,1.03,6.5,448
47,2014,1,1.03,6.4,450
48,2013,12,1.03,6.6,459
49,2013,11,0.97,6.6,459
50,2013,10,0.87,6.6,429
51,2013,9,0.79,6.5,435
52,2013,8,0.71,6.4,418
53,2013,7,0.74,6.3,405
54,2013,6,0.72,6.5,414
55,2013,5,0.75,6.4,400
56,2013,4,0.7,6.6,417
57,2013,3,0.62,6.5,400
58,2013,2,0.56,6.5,400
59,2013,1,0.5,6.4,400
60,2012,12,0.46,6.4,417
61,2012,11,0.46,6.4,414
62,2012,10,0.46,6.3,428
63,2012,9,0.48,6.5,436
64,2012,8,0.44,6.5,402
65,2012,7,0.44,6.4,400
66,2012,6,0.37,6.3,400
67,2012,5,0.28,6.2,400
68,2012,4,0.25,6.2,400
69,2012,3,0.28,6.3,400
70,2012,2,0.25,6.3,400
71,2012,1,0.25,6.4,420
72,2011,12,0.25,6.4,400
73,2011,11,0.25,6.4,400
74,2011,10,0.27,6.3,400
75,2011,9,0.31,6.3,400
76,2011,8,0.29,6.2,400
77,2011,7,0.34,6.4,402
78,2011,6,0.28,6.4,400
79,2011,5,0.3,6.4,407
80,2011,4,0.25,6.3,416
81,2011,3,0.3,6.4,424
82,2011,2,0.32,6.5,400
83,2011,1,0.3,6.5,400
84,2010,12,0.25,6.4,400
85,2010,11,0.25,6.6,400
86,2010,10,0.29,6.8,417
87,2010,9,0.25,6.7,400
88,2010,8,0.25,6.6,400
89,2010,7,0.29,6.7,400
90,2010,6,0.29,6.8,400
91,2010,5,0.29,7.0,407
92,2010,4,0.3,7.0,400
93,2010,3,0.32,7.0,408
94,2010,2,0.37,7.0,400
95,2010,1,0.41,7.1,400
96,2009,12,0.33,7.0,414
97,2009,11,0.35,6.9,424
98,2009,10,0.4,7.0,405
99,2009,9,0.38,6.9,400
100,2009,8,0.43,7.0,400
101,2009,7,0.47,7.0,412
102,2009,6,0.49,6.9,400
103,2009,5,0.43,6.8,400
104,2009,4,0.37,6.8,400
105,2009,3,0.41,6.8,400
106,2009,2,0.4,7.0,400
107,2009,1,0.44,7.0,400
108,2008,12,0.42,6.9,400
109,2008,11,0.35,6.8,408
110,2008,10,0.28,6.8,412
111,2008,9,0.26,6.8,403
112,2008,8,0.25,6.9,400
113,2008,7,0.25,6.8,400
114,2008,6,0.27,6.8,400
115,2008,5,0.28,7.0,400
116,2008,4,0.27,7.0,400
117,2008,3,0.27,7.0,400
118,2008,2,0.25,7.2,402
119,2008,1,0.28,7.4,400
120,2007,12,0.26,7.6,410
121,2007,11,0.25,7.5,400
122,2007,10,0.25,7.4,400
123,2007,9,0.25,7.5,414
124,2007,8,0.25,7.6,414
125,2007,7,0.25,7.8,432
126,2007,6,0.25,8.0,416
127,2007,5,0.25,8.2,426
128,2007,4,0.25,8.2,417
129,2007,3,0.25,8.1,400
130,2007,2,0.26,8.0,400
131,2007,1,0.25,7.9,400
132,2006,12,0.25,7.9,400
133,2006,11,0.3,8.0,418
134,2006,10,0.25,7.9,400
135,2006,9,0.27,7.8,400
136,2006,8,0.25,8.0,409
137,2006,7,0.25,7.9,424
138,2006,6,0.25,8.0,400
139,2006,5,0.25,8.1,400
140,2006,4,0.25,8.3,400
141,2006,3,0.27,8.2,411
142,2006,2,0.25,8.4,400
143,2006,1,0.25,8.4,416
144,2005,12,0.25,8.3,408
145,2005,11,0.25,8.2,400
146,2005,10,0.25,8.1,400
147,2005,9,0.25,8.2,400
148,2005,8,0.25,8.1,400
149,2005,7,0.25,8.0,400
150,2005,6,0.26,8.0,400
151,2005,5,0.25,8.2,400
152,2005,4,0.27,8.2,400
153,2005,3,0.3,8.2,400
