weight,height
100.9,163.6
105.5,163.9
94.4,163.7
102.8,168.3
102.0,162.8
109.5,167.3
106.4,171.6
93.7,157.6
110.3,167.5
102.2,165.4
97.9,170.3
103.4,161.9
105.6,173.7
105.6,168.8
100.8,172.8
97.8,170.7
86.4,138.8
102.3,155.8
99.7,171.6
101.7,173.5
100.6,164.1
107.1,166.1
107.4,171.4
108.1,171.5
95.8,158.7
102.6,160.3
112.9,162.5
92.9,156.8
113.5,172.7
109.2,170.1
109.2,179.3
92.7,150.8
100.0,174.5
103.9,165.3
104.5,161.8
117.0,170.8
102.6,171.2
95.5,159.4
104.4,174.5
105.9,164.3
97.4,157.8
87.9,146.6
101.7,159.3
108.4,176.9
104.6,167.6
112.4,175.8
98.8,167.7
108.9,174.0
108.5,177.3
110.5,184.5
111.0,180.9
94.3,159.8
108.9,163.5
110.0,173.2
94.2,141.2
102.6,170.6
99.3,158.7
105.8,182.2
107.2,160.7
98.4,160.5
96.8,166.0
97.6,167.2
107.0,173.9
115.3,187.8
102.8,178.7
103.5,163.8
102.8,182.5
110.4,174.9
113.7,180.3
100.1,165.5
97.2,152.5
111.7,163.1
101.1,158.9
92.7,149.3
107.9,167.6
109.5,179.5
99.2,153.8
107.6,170.2
104.7,158.0
106.4,165.9
111.9,177.7
114.7,167.9
102.2,167.4
110.5,166.1
105.7,166.2
105.9,177.0
95.3,147.7
100.6,167.3
109.9,173.7
100.1,155.1
94.1,163.0
104.5,169.5
101.4,157.5
102.1,169.9
109.6,169.0
100.9,157.9
113.8,165.0
96.7,146.4
100.4,161.9
112.0,184.0
111.5,187.4
101.8,168.5
99.4,158.1
102.1,162.2
102.0,143.9
110.4,163.3
98.9,154.9
114.0,196.6
92.3,150.0
108.3,169.7
107.7,177.9
92.3,149.0
111.0,177.4
92.5,145.4
120.1,179.0
106.8,170.6
92.1,152.6
105.3,165.5
103.0,170.8
92.9,153.5
